ArtefactID,MusAcc,SiteName,AdminRegion,Length,Weight,Country
154,Elgin Museum ELGNM : 1868.8,Spynie Palace,"Moray, Scotland",126,330,Scotland
155,Elgin Museum ELGNM : 1875.3,Spynie Palace,"Moray, Scotland",95,180,Scotland
158,Montrose Museum 65,Dunnottar,"Aberdeenshire, Scotland",138,550,Scotland
159,Dunfermline Museum DUFDM : unknown,"Lochgelly, Wester Cartmore Farm","Fife, Scotland",153,691.5,Scotland
160,National Museums Scotland NMS : DA 73,"Skye, Glen Drynoch","Highland, Scotland",135,295,Scotland
161,National Museums Scotland NMS : DA 95,Glenelg,"Highland, Scotland",102,215,Scotland
162,Elgin Museum ELGNM : 1875.4,Urquhart Castle (near)?,"Moray, Scotland",120,325,Scotland
165,National Museums Scotland NMS : DA 57,Dores,"Highland, Scotland",139,340,Scotland
166,National Museums Scotland NMS : DA 97,Bishop-Kinkell Farm,"Highland, Scotland",143,390,Scotland
170,"Powysland Museum, Welshpool WEPLM : unknown",Culloden,"Highland, Scotland",145,573,Scotland
171,"Powysland Museum, Welshpool WEPLM : unknown",Culloden,"Highland, Scotland",136,308,Scotland
172,National Museums Scotland NMS : DA 117,Skibo,"Highland, Scotland",110,205,Scotland
173,National Museums Scotland NMS : DQ 265,Barevan Graveyard,"Highland, Scotland",150,385,Scotland
174,National Museums Scotland NMS : DQ 264,Barevan Graveyard,"Highland, Scotland",160,500,Scotland
175,National Museums Scotland NMS : DA 8,Nairn (near),"Highland, Scotland",269,1000,Scotland
176,British Museum BM : WG.1796,Nairn,"Highland, Scotland",127,288.5,Scotland
177,British Museum BM : WG.1798,Dyke and Moy,"Moray, Scotland",112,239.2,Scotland
178,National Museums Scotland NMS : DA 69,Darnaway,"Moray, Scotland",145,232,Scotland
179,British Museum BM : WG.1795,"Braemoray, Edinkilie, Grampian","Moray, Scotland",114,279,Scotland
182,Forres Museum FOREM : unknown,Briach Hill,"Moray, Scotland",120,320,Scotland
183,National Museums Scotland NMS : DA 32,"Edinkillie, Muir of Sluie","Moray, Scotland",145,510,Scotland
184,National Museums Scotland NMS : DA 33,"Edinkillie, Muir of Sluie","Moray, Scotland",147,435,Scotland
